date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:55	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Feb%202025%2012:23:57%20GMT	https://www.dermylife.com.br/robots.txt		(from )
13:23:56	224874/224874	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2012:23:57%20GMT	https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/index4c52.html	(from )
13:23:56	6422/6422	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Sep%202022%2003:23:22%20GMT	https://www.dermylife.com.br/chapinha-dermylife/icon_dermylife.png	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/icon_dermylife.png	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Feb%202025%2012:23:58%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/User1/Downloads/xxz/www.googletagmanager.com/gtm.15445.delayed	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:56	2694/2694	---M-Z	200	added ('OK')	image/webp	date:Tue,%2026%20Sep%202023%2017:36:19%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs/logo_dermylife.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs/logo_dermylife.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:57	12560/12560	---M-Z	200	added ('OK')	image/webp	date:Sun,%2024%20Sep%202023%2016:47:01%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/envio-imediato-dermylife.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/envio-imediato-dermylife.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:57	224848/224848	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2012:23:58%20GMT	https://www.dermylife.com.br/chapinha-dermylife/	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/index.html	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:57	37536/37536	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:37%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/1-ano-de-garantia.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/1-ano-de-garantia.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:58	38744/38744	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:37%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/informacoes-chapinha.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/informacoes-chapinha.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:58	34686/34686	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:36%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-mais-rapida.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-mais-rapida.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:58	34016/34016	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:37%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/testada-aprovada-chapinha-dermylife.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/testada-aprovada-chapinha-dermylife.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:58	45658/45658	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:36%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-caixa.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-caixa.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:58	15600/15600	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:37%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-inmetro-display.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-inmetro-display.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:59	35610/35610	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:37%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/Caixa-dermylife-chapinha.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/Caixa-dermylife-chapinha.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:59	10730/10730	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:36%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-inmetro-sem-cabo.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-inmetro-sem-cabo.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
13:23:59	20556/20556	---M-Z	200	added ('OK')	image/webp	date:Fri,%2022%20Sep%202023%2018:34:36%20GMT	https://www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-inmetro-cabo.webp	C:/Users/User1/Downloads/xxz/www.dermylife.com.br/chapinha-dermylife/imgs_lateral_new/chapinha-nano-titanium-dermylife-inmetro-cabo.webp	(from https://www.dermylife.com.br/chapinha-dermylife/?utm_campaign=LANDINGPAGE&fbclid=IwAR2hbbvLeBP7om73TEBM3G0AT9Z7mG5urJybReolGjBBtrsqR4eHg5NwzAk)
